gewichtet: TRUE
gerichtet: FALSE
0,"Stettin",1462,261
1,"Frankfurt",1448,502
2,"Berlin",1304,454
3,"Celle",870,386
4,"Magdeburg",1055,515
5,"Dessau",1138,585
6,"Braunschweig",919,473
7,"Hannover",817,440
8,"Hildesheim",838,486
9,"Lüneburg",931,257
10,"Halle",1101,654
11,"Leipzig",1146,695
12,"Gera",1094,779
13,"Erfurt",962,764
14,"Dresden",1332,766
15,"Chemnitz",1211,802
16,"Nürnberg",946,1085
17,"Bayreuth",1014,990
18,"Fürth",932,1072
19,"Bamberg",921,997
20,"Würzburg",784,993
21,"Göttingen",834,623
22,"Kassel",760,657
23,"Pilsen",1259,1050
24,"Prag",1414,982
25,"Ingolstadt",962,1235
26,"München",968,1374
27,"Regensburg",1075,1191
28,"Passau",1244,1304
29,"Budweis",1411,1224
30,"Linz",1365,1378
31,"Salzburg",1182,1467
32,"Kufstein",1043,1511
33,"Innsbruck",925,1566
34,"Landeck",814,1581
35,"Bozen",915,1730
36,"Augsburg",884,1318
37,"Ulm",750,1296
38,"Ansbach",868,1104
39,"Heilbronn",668,1125
40,"Stuttgart",648,1194
41,"Schaffhausen",537,1415
42,"Karlsruhe",547,1136
43,"Heidelberg",601,1049
44,"Darmstadt",605,957
45,"Frankfurt",608,902
46,"Mannheim",574,1032
47,"Ludwigshafen",557,1036
48,"Mainz",557,923
49,"Kaiserslautern",471,1030
50,"Saarbrücken",348,1055
51,"Trier",329,944
52,"Kehl",457,1219
53,"Freiburg",435,1344
54,"Straßburg",435,1208
55,"Nancy",227,1153
56,"Metz",232,1068
57,"Luxemburg",243,959
58,"Garmisch-Partenkirchen",894,1502
59,"Kempten",788,1454
60,"Lindau",690,1472
61,"Feldkirchen",680,1546
62,"St. Gallen",631,1507
63,"Zürich",517,1492
64,"Olten",423,1487
65,"Basel",389,1433
66,"Mühlhausen",353,1377
67,"Kiel",922,29
68,"Hamburg",888,196
69,"Bremerhaven",707,175
70,"Bremen",717,265
71,"Oldenburg",647,247
72,"Emden",529,184
73,"Leer",558,216
74,"Groningen",433,212
75,"Zwolle",352,337
76,"Utrecht",207,405
77,"Enschede",435,422
78,"Osnabrück",593,427
79,"Münster",526,486
80,"Amsterdam",186,344
81,"Den Haag",96,397
82,"Rotterdam",107,428
83,"Eindhoven",219,551
84,"Antwerpen",72,573
85,"Maastricht",234,676
86,"Brüssel",54,643
87,"Arnheim",301,447
88,"Duisburg",397,579
89,"Recklinghausen",462,549
90,"Essen",425,588
91,"Düsseldorf",405,633
92,"Leverkusen",418,678
93,"Köln",392,694
94,"Wuppertal",449,631
95,"Bochum",457,584
96,"Dortmund",495,582
97,"Bielefeld",654,488
98,"Hamm",539,561
99,"Paderborn",671,568
100,"Aachen",290,708
101,"Lüttich",203,730
102,"Bonn",417,745
103,"Koblenz",471,838
104,"Gießen",635,806
105,"Rostock",1158,100
106,"Lübeck",987,129
107,"Schwerin",1064,187
108,"Wittenberge",1091,324
109,"Stendal",1097,414
110,"Chur",654,1629
111,"Luzern",466,1561
112,"Bern",345,1571
113,"Lausanne",209,1625
114,"Genf",130,1689
115,"Belfort",290,1401
116,"Besancon",145,1461
117,"Dole",60,1485
118,"Martigny",270,1734
119,"Aosta",296,1820
120,"Ivrea",370,1888
121,"Annecy",112,1755
122,"St Gotthard",496,1669
123,"St. Bernardino",588,1697
124,"Como",556,1845
125,"Turin",321,1966
126,"Novara",478,1912
127,"Mailand",558,1928
128,"Bergamo",641,1884
129,"Brescia",718,1919
130,"Trient",866,1826
131,"Verona",831,1961
132,"Modane",175,1917
133,"Chambery",69,1824
134,"St. Michael",1252,1620
